local_iri,local_label,local_kind,relation,target_iri,target_label,target_kind,source,score,status,rationale
https://w3id.org/h2kg/hydrogen-ontology#InitiatorConcentration,Initiator Concentration,controlled_vocabulary_term,skos:closeMatch,http://purl.obolibrary.org/obo/IAO_0000030,information content entity,class,hdo,0.571,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#InkDilutionRatio,Ink Dilution Ratio,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00002012,Lizenzinformation,class,hdo,0.571,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#InkDilutionRatio,Ink Dilution Ratio,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00007028,dictionary specification,class,hdo,0.571,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#InkDilutionRatio,Ink Dilution Ratio,controlled_vocabulary_term,skos:closeMatch,http://purl.obolibrary.org/obo/IAO_0000033,directive information entity,class,hdo,0.565,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#InkStorageStabilityDuration,Ink Storage Stability Duration,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00006031,data storage role,class,hdo,0.553,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#Instrument,Instrument,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00002028,Infrastruktur,class,hdo,0.609,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#IonomerToCatalystMassRatio,Ionomer To Catalyst Mass Ratio,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00006048,grants permission to,object_property,hdo,0.56,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#IonomerType,Ionomer Type,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000119,obsolete file type,class,hdo,0.6,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#KOHConcentration,KOH Concentration,controlled_vocabulary_term,skos:closeMatch,http://purl.obolibrary.org/obo/IAO_0000030,information content entity,class,hdo,0.558,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#LaB6CalibrationStandard,La B 6 Calibration Standard,controlled_vocabulary_term,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00006043,based on standard,object_property,hdo,0.591,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#Manufacturing,Manufacturing,class,skos:closeMatch,https://purls.helmholtz-metadaten.de/hob/HDO_00000039,Aufzeichung,class,hdo,0.583,proposed,"HDO is preferred for Helmholtz-community data, metadata, identifier, digital-object, and validation semantics."
https://w3id.org/h2kg/hydrogen-ontology#Matter,Matter,class,skos:closeMatch,https://w3id.org/emmo#EMMO_material,Material,class,emmo-core,0.714,proposed,Lexical similarity with a compatible external term.
https://w3id.org/h2kg/hydrogen-ontology#Measurement,Measurement,class,rdfs:subClassOf,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.99,manual_override,Measurement is better treated as a local specialization of electrochemical measurement practice.
https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,class,rdfs:subClassOf,https://purls.helmholtz-metadaten.de/hob/HDO_00000029,Metadaten,class,hdo,0.904,proposed,Conservative HDO anchoring favors specialization for data-governance and metadata-management concepts.
https://w3id.org/h2kg/hydrogen-ontology#Metadata,Metadata,class,rdfs:subClassOf,https://purls.helmholtz-metadaten.de/hob/HDO_00006016,Metadatensatz,class,hdo,0.842,proposed,Conservative HDO anchoring favors specialization for data-governance and metadata-management concepts.
