local_iri,local_label,local_kind,relation,target_iri,target_label,target_kind,source,score,status,rationale
https://w3id.org/h2kg/hydrogen-ontology#DihydroxybenzeneDisulfonicAcid,Dihydroxybenzene Disulfonic Acid,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_17883,Hydrochloric acid,class,chebi,0.571,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#DihydroxybenzeneDisulfonicAcid,Dihydroxybenzene Disulfonic Acid,controlled_vocabulary_term,,http://purl.obolibrary.org/obo/CHEBI_29241,Hydrofluoric acid,class,chebi,0.571,rejected_chemical_non_exact,Rejected because ChEBI mappings are limited to exact or manually curated chemical matches in this phase.
https://w3id.org/h2kg/hydrogen-ontology#ElectricalPropertiesTable,Electrical Properties Table,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.556,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#ElectricalResistivity,Electrical Resistivity,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.571,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#ElectricalResistivityMeasurement,Electrical Resistivity Measurement,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.721,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#ElectrochemicalImpedanceSpectroscopyGalvanostatic,Electrochemical Impedance Spectroscopy Galvanostatic,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.557,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#ElectrochemicalImpedanceSpectroscopyPotentiostatic,Electrochemical Impedance Spectroscopy Potentiostatic,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.575,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#ElectrochemicalReactionSimulation,Electrochemical Reaction Simulation,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.677,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#ElectrochemicalWorkstation,Electrochemical Workstation,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.667,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
https://w3id.org/h2kg/hydrogen-ontology#ElectrochemicallyActiveSurfaceArea,Electrochemically Active Surface Area,controlled_vocabulary_term,,https://w3id.org/emmo/domain/electrochemistry#electrochemistry_7729c34e_1ae9_403d_b933_1765885e7f29,Electrochemical measurement,class,emmo-electrochemistry,0.625,rejected_generic_electrochemical_measurement,Rejected because generic electrochemical measurement is too broad for automatic proposal here.
