source_dependency_id,workflow_id,source_kind,source_occurrence_id,source_node_id,source_graphml_id,source_label,source_semantic_role,source_anchor_iri,target_occurrence_id,target_node_id,target_graphml_id,target_label,target_semantic_role,target_anchor_iri,source_description,projection_outcome,projection_pattern,semantic_predicates,semantic_edge_ids,semantic_direction,confidence,review_status,rationale
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e17,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n12,n12,n12,Catalyst coagulation rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-coagulation-rate-constant-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n16,n16,n16,0D Particle population degradation model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e17::d4f6925dea; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e17::cf520e0b0e,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e18,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n13,n13,n13,Catalyst deactivation rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-deactivation-rate-constant-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n16,n16,n16,0D Particle population degradation model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e18::5953023aa4; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e18::0c53656c91,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e19,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n14,n14,n14,Catalyst surface tension,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-surface-tension-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n16,n16,n16,0D Particle population degradation model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e19::549986b4a6; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e19::67ac79e150,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e20,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n16,n16,n16,0D Particle population degradation model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-prediction-model,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n3,n3,n3,Catalyst active particle radius distribution (aged),Data,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-active-particle-radius-distribution-aged-component,,h2kg_direct,activity_output_data,https://w3id.org/h2kg/hydrogen-ontology#hasOutputData,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e20::6d64b96b90,same_as_source,rule_curated,classified,Activity produces the target data.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e21,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n16,n16,n16,0D Particle population degradation model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-prediction-model,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n0,n0,n0,ECSA (aged),Matter,https://w3id.org/h2kg/decode/workflow/anchor/ecsa-aged-component,,h2kg_direct,activity_output_material,https://w3id.org/h2kg/hydrogen-ontology#hasOutputMaterial,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e21::5d2cf2ef91,same_as_source,rule_curated,classified,Activity produces the target material.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e22,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n10,n10,n10,Catalyst dissolution rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-dissolution-rate-constant-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n17,n17,n17,0D Particle population degradation model coupled with performance model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e22::01ea89a66c; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e22::fa41e51434,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e23,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n11,n11,n11,Catalyst re-deposition rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-re-deposition-rate-constant-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n17,n17,n17,0D Particle population degradation model coupled with performance model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e23::25b0f4658f; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e23::3bdf5b1999,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e24,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n12,n12,n12,Catalyst coagulation rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-coagulation-rate-constant-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n17,n17,n17,0D Particle population degradation model coupled with performance model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e24::c87db4c78f; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e24::cf520e0b0e,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e25,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n13,n13,n13,Catalyst deactivation rate constant,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-deactivation-rate-constant-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n17,n17,n17,0D Particle population degradation model coupled with performance model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e25::1e7cadbfd3; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e25::0c53656c91,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e26,0d-particle-population-degradation-model-coupled-with-performance-model-fitting,source_graphml,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n14,n14,n14,Catalyst surface tension,Property,https://w3id.org/h2kg/decode/workflow/anchor/catalyst-surface-tension-component,0d-particle-population-degradation-model-coupled-with-performance-model-fitting::n17,n17,n17,0D Particle population degradation model coupled with performance model (prediction),Process,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-prediction-model,,h2kg_reified,property_value_input,https://w3id.org/h2kg/hydrogen-ontology#hasInputData; https://w3id.org/h2kg/hydrogen-ontology#ofProperty,semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e26::42e1c79e0a; semantic::0d-particle-population-degradation-model-coupled-with-performance-model-fitting::e26::67ac79e150,reified_projection,rule_curated,classified,Property-valued source is reified as a DataPoint consumed by the activity.
