id,upstream_method_id,downstream_method_id,upstream_workflow_id,downstream_workflow_id,upstream_occurrence_id,downstream_occurrence_id,declarations,reciprocity_state,handoff_labels,handoff_anchor_iris,predicate,publication_status,review_rationale
manual-dependency-0020-c931b86dae,BOSCH-Mod-mpl-parameter-estimation-gdl-substrate,CEA-Mod-europium-2d-mea-model,mpl-parameter-estimation-from-gdl-and-substrate-data,cea-mea-model-europium-2d,mpl-parameter-estimation-from-gdl-and-substrate-data::n20,cea-mea-model-europium-2d::n72,input_method; output_method,confirmed_reciprocal,MPL thickness; MPL conductivity; GDL substrate in-plane permeability; MPL permeability; MPL porosity; GDL substrate average pore radius; MPL average pore radius,https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-average-pore-radius-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-in-plane-permeability-component; https://w3id.org/h2kg/decode/workflow/anchor/mpl-average-pore-radius-component; https://w3id.org/h2kg/decode/workflow/anchor/mpl-conductivity-component; https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerPermeability; https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerPorosity; https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0021-b54a486212,BOSCH-Mod-mpl-parameter-estimation-gdl-substrate,CEA-Mod-europium-model-fitting,mpl-parameter-estimation-from-gdl-and-substrate-data,fitting-of-the-europium-model,mpl-parameter-estimation-from-gdl-and-substrate-data::n20,fitting-of-the-europium-model::n61,input_method; output_method,confirmed_reciprocal,MPL thickness; MPL conductivity; GDL substrate in-plane permeability; MPL permeability; MPL porosity; GDL substrate average pore radius; MPL average pore radius,https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-average-pore-radius-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-in-plane-permeability-component; https://w3id.org/h2kg/decode/workflow/anchor/mpl-average-pore-radius-component; https://w3id.org/h2kg/decode/workflow/anchor/mpl-conductivity-component; https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerPermeability; https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerPorosity; https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0022-158dfb5e32,BOSCH-Mod-mpl-parameter-estimation-gdl-substrate,CIEMAT-Exp-current-modulated-hydrogen-flow-rate-spectroscopy,mpl-parameter-estimation-from-gdl-and-substrate-data,current-modulated-hydrogen-flow-rate-spectroscopy-ch2s,mpl-parameter-estimation-from-gdl-and-substrate-data::n20,current-modulated-hydrogen-flow-rate-spectroscopy-ch2s::n14,input_method; output_method,confirmed_reciprocal,MPL thickness; MPL porosity,https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerPorosity; https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0023-6cb7b9387b,BOSCH-Mod-mpl-parameter-estimation-gdl-substrate,FZJ-IET-3-Mod-diffusivities-tortuosities,mpl-parameter-estimation-from-gdl-and-substrate-data,diffusivities-from-tortuosities,mpl-parameter-estimation-from-gdl-and-substrate-data::n20,diffusivities-from-tortuosities::n13,input_method; output_method,confirmed_reciprocal,MPL thickness; MPL porosity,https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerPorosity; https://w3id.org/h2kg/hydrogen-ontology#MicroporousLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0024-8708982106,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,CEA-Exp-electron-tomography-pt-c-ionomer-cl,blade-coating-and-decal-transfer-for-ref-pefc-ccm,electron-tomography-for-pt-c-and-ionomer-distribution-in-cl,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,electron-tomography-for-pt-c-and-ionomer-distribution-in-cl::n3,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0025-43984bb4d9,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,CEA-Exp-electron-tomography-pt-ionomer-distribution-carbon-aggregate,blade-coating-and-decal-transfer-for-ref-pefc-ccm,high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate::n4,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0026-04b4161e5a,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,CEA-Exp-fib-sem-cl,blade-coating-and-decal-transfer-for-ref-pefc-ccm,fib-sem-on-cl-material,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,fib-sem-on-cl-material::n3,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0027-d8db57da45,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,CEA-Exp-mea-assembly-pefc-ref-mea,blade-coating-and-decal-transfer-for-ref-pefc-ccm,mea-assembly-for-pefc-ref-mea,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,mea-assembly-for-pefc-ref-mea::n4,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0028-92f7423a54,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,CEA-Exp-tem-eds-analysis-CL,blade-coating-and-decal-transfer-for-ref-pefc-ccm,manual-cea-exp-tem-eds-analysis-cl,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,manual-cea-exp-tem-eds-analysis-cl::method,input_method,grounded_one_sided,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_pending_review,One record declares the dependency and an exact reviewed handoff grounds a pending-review link.
manual-dependency-0029-b232c1e979,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,CEA-Exp-tem-eds-analysis-mea,blade-coating-and-decal-transfer-for-ref-pefc-ccm,tem-and-eds-analysis-of-mea,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,tem-and-eds-analysis-of-mea::n4,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
